City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Faanui,PF,80.4,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
13,Saint-Philippe,RE,80.6,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
18,Bathsheba,BB,82.4,broken clouds,13.2167,-59.5167,Atlantis Hotel
24,Kavieng,PG,82.31,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
28,Tame,CO,83.12,overcast clouds,6.461,-71.73,Hospedaje Santa Ana
30,Agua Dulce,MX,80.6,overcast clouds,18.1333,-94.1333,Hotel Victoria
31,Yokadouma,CM,82.71,overcast clouds,3.5167,15.05,Hôtel De Ville De Yokadouma
35,Zambezi,ZM,83.97,broken clouds,-13.5432,23.1047,Royal Kutachika Lodge
43,Phan Thiet,VN,81.41,clear sky,10.9333,108.1,Hotel Saigon-PT
52,Laem Sing,TH,88.0,overcast clouds,12.4816,102.0738,Laemsing Whitehouse Resort
80,Cayenne,GF,84.0,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
86,Pointe Michel,DM,86.0,broken clouds,15.25,-61.3833,Castle Comfort Lodge Dive Dominica
92,Butaritari,KI,82.26,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
96,Willowmore,ZA,81.21,overcast clouds,-33.2926,23.4895,Jumper's Place
98,Araioses,BR,87.8,scattered clouds,-2.89,-41.9031,Pousada Vale do magu
104,Alexandria,EG,93.2,clear sky,31.2156,29.9553,Royal Crown Hotel
106,Perambalur,IN,93.2,haze,11.2333,78.8833,Shree Nivasa Rooms
117,Kudahuvadhoo,MV,83.68,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
118,Gat,IL,84.99,clear sky,31.61,34.7642,OlusHome
123,Lorengau,PG,80.71,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
125,Namibe,AO,87.8,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
142,Hithadhoo,MV,83.75,few clouds,-0.6,73.0833,Scoop Guest House
144,Xique-Xique,BR,83.73,clear sky,-10.8218,-42.7263,Hotel J. Macedo
162,Georgetown,MY,86.0,few clouds,5.4112,100.3354,Cititel Penang
164,Turayf,SA,95.0,scattered clouds,31.6725,38.6637,Swiss Spirit Hotel & Suites Turaif
169,Brejinho,BR,86.0,scattered clouds,-6.1908,-35.3567,Recanto da Rosa
