,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Buraydah,SA,26.326,43.975,98.6,13,75,10.36,broken clouds
1,Huilong,CN,31.8111,121.655,64.0,91,83,8.28,light rain
2,Pardina,RO,45.3064,28.9569,59.0,36,0,17.27,clear sky
3,Busselton,AU,-33.65,115.3333,61.0,83,3,3.83,clear sky
4,Faanui,PF,-16.4833,-151.75,80.4,67,5,4.83,clear sky
5,Puerto Ayora,EC,-0.7393,-90.3518,75.7,87,27,7.9,scattered clouds
6,Tasiilaq,GL,65.6145,-37.6368,37.4,75,75,5.75,broken clouds
7,Laguna,US,38.421,-121.4238,52.0,71,20,6.91,few clouds
8,Katsuura,JP,35.1333,140.3,60.01,34,100,1.01,overcast clouds
9,Ushuaia,AR,-54.8,-68.3,46.4,71,75,6.91,moderate rain
10,Arraial Do Cabo,BR,-22.9661,-42.0278,78.8,78,20,5.75,few clouds
11,Popondetta,PG,-8.7537,148.2534,72.99,97,100,3.36,overcast clouds
12,Bambous Virieux,MU,-20.3428,57.7575,78.8,78,75,16.11,light rain
13,Saint-Philippe,RE,-21.3585,55.7679,80.6,69,75,28.77,light rain
14,Rikitea,PF,-23.1203,-134.9692,77.67,75,62,7.52,broken clouds
15,Hermanus,ZA,-34.4187,19.2345,75.0,50,100,5.01,overcast clouds
16,Nanortalik,GL,60.1432,-45.2371,41.5,76,100,14.58,light rain
17,Barrow,US,71.2906,-156.7887,10.4,85,20,12.66,few clouds
18,Bathsheba,BB,13.2167,-59.5167,82.4,57,75,20.71,broken clouds
19,Vasterhaninge,SE,59.1167,18.1,39.99,45,75,14.97,light rain
20,Comodoro Rivadavia,AR,-45.8667,-67.5,46.4,87,0,7.05,clear sky
21,Lebu,CL,-37.6167,-73.65,55.36,82,0,10.51,clear sky
22,Zhengjiatun,CN,43.5064,123.5064,56.32,24,100,3.15,overcast clouds
23,Ahipara,NZ,-35.1667,173.1667,57.31,73,28,5.99,light rain
24,Kavieng,PG,-2.5744,150.7967,82.31,77,99,6.46,overcast clouds
25,Hilo,US,19.7297,-155.09,69.8,83,40,6.91,light rain
26,Nuuk,GL,64.1835,-51.7216,37.4,81,40,18.41,scattered clouds
27,Naze,JP,28.3667,129.4833,64.96,71,100,11.07,overcast clouds
28,Tame,CO,6.461,-71.73,83.12,51,97,6.64,overcast clouds
29,Thompson,CA,55.7435,-97.8558,23.0,63,75,6.91,broken clouds
30,Agua Dulce,MX,18.1333,-94.1333,80.6,94,90,11.5,overcast clouds
31,Yokadouma,CM,3.5167,15.05,82.71,61,100,5.95,overcast clouds
32,Punta Arenas,CL,-53.15,-70.9167,46.4,76,75,12.66,broken clouds
33,Haines Junction,CA,60.7522,-137.5108,21.2,86,5,1.14,clear sky
34,Tymovskoye,RU,50.8456,142.655,22.41,95,42,0.89,scattered clouds
35,Zambezi,ZM,-13.5432,23.1047,83.97,35,69,5.48,broken clouds
36,Ewa Beach,US,21.3156,-158.0072,73.4,73,1,6.91,clear sky
37,Winburg,ZA,-28.518,27.0093,77.83,13,0,14.85,clear sky
38,Adrar,MR,20.5022,-10.0711,95.79,9,4,1.99,clear sky
39,Atuona,PF,-9.8,-139.0333,79.66,79,99,19.13,overcast clouds
40,Tautira,PF,-17.7333,-149.15,75.2,83,75,5.75,moderate rain
41,Mar Del Plata,AR,-38.0023,-57.5575,63.0,72,40,16.11,scattered clouds
42,Albany,US,42.6001,-73.9662,52.0,82,100,3.38,light rain
43,Phan Thiet,VN,10.9333,108.1,81.41,82,5,4.85,clear sky
44,Cape Town,ZA,-33.9258,18.4232,75.99,60,0,17.27,clear sky
45,Codrington,AU,-38.2667,141.9667,51.1,91,0,6.22,clear sky
46,Antalaha,MG,-14.9003,50.2788,75.31,89,100,3.6,overcast clouds
47,Mataura,NZ,-46.1927,168.8643,39.99,82,28,5.01,scattered clouds
48,Grand Gaube,MU,-20.0064,57.6608,75.99,84,100,8.99,light rain
49,Hammerfest,NO,70.6634,23.6821,32.0,86,75,6.91,light snow
50,Kapaa,US,22.0752,-159.319,73.4,78,20,13.8,few clouds
51,Tomatlan,MX,19.9333,-105.25,67.86,70,100,2.37,overcast clouds
52,Laem Sing,TH,12.4816,102.0738,88.0,77,86,7.38,overcast clouds
53,New Norfolk,AU,-42.7826,147.0587,57.0,80,100,1.99,overcast clouds
54,Severo-Kurilsk,RU,50.6789,156.125,31.89,94,100,7.4,light snow
55,Bethel,US,41.3712,-73.414,48.0,95,100,5.08,light rain
56,Tuatapere,NZ,-46.1333,167.6833,39.99,82,89,5.01,moderate rain
57,Atlantic City,US,39.3643,-74.4229,50.0,93,90,16.11,mist
58,Sitka,US,57.0531,-135.33,42.8,61,20,4.94,few clouds
59,Mvuma,ZW,-19.2792,30.5283,79.84,26,53,4.97,broken clouds
60,Yellowknife,CA,62.456,-114.3525,1.0,71,75,2.3,broken clouds
61,Esfarayen,IR,37.0765,57.5101,78.8,29,20,9.22,few clouds
62,Porto Santo,PT,33.072,-16.3415,68.0,68,40,20.71,scattered clouds
63,Lompoc,US,34.6391,-120.4579,46.99,87,100,3.06,overcast clouds
64,Tuktoyaktuk,CA,69.4541,-133.0374,10.4,92,90,8.05,mist
65,Kodiak,US,57.79,-152.4072,37.4,87,90,11.5,overcast clouds
66,Pisco,PE,-13.7,-76.2167,64.4,94,90,3.44,mist
67,Bluff,NZ,-46.6,168.3333,39.99,82,75,5.01,broken clouds
68,Koslan,RU,63.4564,48.8989,40.17,95,100,8.79,overcast clouds
69,Geraldton,AU,-28.7667,114.6,66.2,82,2,8.05,clear sky
70,Vaini,TO,-21.2,-175.2,75.2,94,75,1.14,light rain
